행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
1101072,13165073.8634,490731.016,312694.9968,486112.631,466689.1236,500629.3294,455226.4245,496966.8671,525041.8046,615189.5969,478096.6617,399116.1657,289378.0975,211213.7403,493759.8544,432413.5083,259090.0434,340621.697,415462.7121,526863.3814,482152.7686,554807.5058,546796.5918,697405.7723,522324.5294,541409.1937,361843.7224,301671.9246,961364.2164
1101053,16122217.182,239326.483,106367.3258,194390.3279,310001.0041,642853.4752,738795.791,940313.5163,815929.957,973692.0301,775216.6131,573576.6066,441047.427,281130.2344,596610.8152,282777.6079,151487.7381,292077.956,590291.0943,891325.4361,871536.6835,962263.1534,787538.0533,754202.4714,616561.8845,579918.7922,483713.9237,340111.617,889159.1695
1101054,4093911.6305,44838.0997,34356.5943,155124.8365,306574.835,154335.2102,166939.8208,190693.0769,177213.7137,195362.008,174098.2337,153064.6614,102011.969,86433.5262,145843.7997,64778.4832,39792.425,87773.4098,152613.5342,171964.9429,176496.9451,198586.9104,172641.7019,173835.092,147773.099,150749.09,138301.6669,103870.2747,227843.6716
1101055,10970006.4618,301545.8771,233814.5031,347271.4733,375129.3727,307532.6737,275331.0942,364029.0988,334849.1893,469875.2167,398174.0437,418210.0971,346373.9948,255829.0068,556503.4225,319479.3621,227542.9216,415482.8857,339886.9186,312649.8192,286628.9899,428605.4649,448709.6174,591229.0512,456178.3352,489163.1648,435324.1708,324121.4978,910535.1807
1101056,13622785.5041,418234.8434,302522.8726,373068.8111,399096.3724,354229.6294,281910.1393,369023.6053,405703.132,587157.9738,507744.893,569292.8997,498232.79,354317.07,728165.0849,467341.3886,273053.1501,424104.1084,360780.6825,336731.4805,369787.1694,494190.8656,492848.8657,657217.8385,579862.2507,698158.1118,592912.6268,480128.8853,1246967.9343
1101057,4977717.4751,158182.7375,101163.1461,175748.2615,240778.1944,120906.746,110401.1521,154371.1635,147227.1925,186943.8666,197785.1825,154272.3126,141130.3107,122177.086,261264.8417,210481.4474,133050.2155,167725.4549,144985.7087,121596.7852,143694.6713,191428.2151,183190.651,250622.4584,171723.0831,209991.877,220136.4774,132521.8618,424216.3551
1101058,6265974.432,346410.3692,137802.9296,189405.7732,129297.6967,180783.3017,181563.8487,278824.1502,295105.6545,315731.765,271094.8749,196745.6082,156904.6754,110494.3397,267761.6651,205133.2625,98147.5375,187361.7126,217888.0699,215160.894,215673.3491,283500.0602,259726.5642,311242.3611,240646.078,219161.2278,199044.6494,135328.1943,420033.8142
1101060,5146250.0787,101535.7152,71672.0979,257211.2858,159040.4478,162901.8599,227456.422,280728.1871,258396.7709,291624.4957,219052.6816,201679.944,105118.6381,74267.3542,185709.9873,129012.2683,73437.6195,147767.338,182042.9919,208940.1447,209862.1396,208072.9462,227088.1185,239465.0306,186978.1961,184484.1621,139836.7048,103486.7231,309379.8109
1101061,41058732.7446,431056.4239,135812.4275,345903.3477,1303003.5722,2083502.1766,2109459.3366,2449559.182,2346866.9794,2654562.0548,2231341.8776,2000676.7661,1508052.501,1107083.6125,2128830.1232,316601.5217,155256.1911,529443.1795,1934908.1739,2256872.1193,1820769.2671,1793054.1419,1535544.4714,1575016.0552,1357197.2237,1327597.3333,1146067.1184,757071.6137,1717623.991
1101063,11714044.4541,77949.6162,59334.583,187624.4196,329205.7885,488614.4854,468964.6241,561287.7893,550165.9087,601997.9569,623815.4097,707707.0753,559597.4522,393334.8794,695357.3796,52397.9884,54779.8119,157110.0325,418079.4813,533615.4212,420295.3211,409015.13,341171.9556,433248.4067,464556.2033,519638.808,467812.2164,339353.3592,798012.9485
1101064,16750867.8937,234943.3099,129802.9372,248730.5938,678634.8163,825850.0435,743871.2878,773320.5033,643950.9871,705252.3458,677979.5904,607254.3172,394582.3706,300589.4402,666719.5818,208630.7684,143091.8345,340711.0825,994723.3981,1191679.5885,948903.1426,902842.4944,688519.4489,670731.7932,565599.9745,592568.1867,488581.0587,381023.9538,1001779.0557
1101073,21332147.1071,428509.2495,325783.2743,1027809.142,1529379.2711,1279302.7375,730058.796,573392.7811,608105.3836000001,725470.7328,643642.0686,538371.1507,400270.1535,243489.4131,655246.9488,430979.5755,281241.17,974208.1761,2481492.2985,1195399.5255,683588.4455,680674.4957,669580.4704,817954.5267,666222.5631,624265.7174,503255.7666,414564.0459,1199889.2704
1101067,6419245.8868,48301.0125,33556.5856,76273.7837,183082.1533,219022.332,229100.5037,293262.2313,269661.5013,293284.2128,270725.705,377253.3635,278340.4642,224512.457,380441.7953,48578.6483,23847.6647,67325.4604,226487.4907,207391.7022,223613.0973,268056.7369,233512.0554,300859.5608,323633.1559,345228.7125,296820.2874,205274.3589,471798.8538
1101068,7075992.1542,121064.998,82011.7981,136306.3048,260075.6435,221921.3846,190258.0167,223147.3782,194493.3284,271361.8258,321651.0557,397243.631,269053.5906,191509.6676,357905.6453,108363.5914,80946.2727,146023.3832,354875.3528,236100.4483,227352.0755,245533.2124,162871.364,300212.7196,397092.6157,446351.0045,314550.5498,240262.5658,577452.752
1101069,3739526.6557,93908.7679,48979.9485,96724.2866,107939.1625,115779.8829,104605.5271,179945.8032,123139.7396,156159.1111,113660.7623,163237.9738,124476.6977,88704.9933,163662.1159,159035.8729,103444.0315,122142.1027,126876.5854,131767.5553,128104.7261,145716.5823,150914.3912,154754.265,172753.5621,162657.2358,131434.8249,118648.4426,250351.6857
1101070,6047583.7374,173201.7975,82086.1597,81781.9002,171973.7736,202116.3055,210227.8406,254198.1362,195635.6592,271083.4137,240264.0988,304153.2499,224163.2901,186102.4724,332473.7596,131128.1313,66959.1603,94742.1847,231120.6553,232619.9022,236223.7113,228506.2136,238107.686,241987.9108,278458.7693,293957.2704,217195.1988,175580.2089,451534.8669
1101071,9460111.6099,111801.6695,55900.8313,151593.6458,264632.8245,456029.7101,393785.139,411565.659,392605.2921,405027.2767,420559.514,480675.7,391676.2662,321200.1381,538832.072,114025.0936,47403.6025,150969.9891,484743.3235,492293.3819,387957.6238,382884.7919,305214.7975,368142.3276,377964.5237,380245.4142,339408.4584,248773.0072,584199.5294
1102052,18132245.3557,383323.0101,55756.0739,71171.2722,304545.931,802439.064,1036999.6686,1354178.7263,1213555.7796,1390566.5658,1000142.9476,771030.5525,449835.7429,284390.9186,389783.101,260655.3654,127365.7902,419176.0049,581022.2052,1069449.317,1089133.4724,1010836.3764,891961.8365,854196.209,663451.5482,603017.9866,416761.251,235436.8837,402061.7667
1102054,17412558.2503,118670.112,49699.3472,101350.8358,325516.4259,675089.1446,865046.6892,1141172.2199,1061043.4338,1126625.3832,852294.7508,716589.0519,508952.4733,355283.8172,604022.603,166801.9043,59276.784,171451.4586,562592.135,876366.3018,868212.6883,975348.9883,791183.4339,823734.9326,668249.7715,782240.7606,671905.929,463692.4531,1030144.4541
1102055,21532015.7866,174857.9588,53428.7752,129994.9816,498286.9427,1101770.8561,1315377.0419,1702372.1204,1460136.7255,1575296.1835,1206320.1431,843822.025,547177.5579,365574.3956,498939.1417,170843.3135,65708.9651,237236.2168,1018939.1617,1470064.3724,1369082.2479,1289838.1132,999442.5419,923783.5375,665345.3782,573476.8893,429946.0566,299494.7852,545459.366
1102057,8388524.8303,130068.6193,43356.2047,201840.9039,442542.4451,454686.3334,401316.2082,415333.5555,442517.4566,497753.8827,440701.5438,388983.657,255649.2267,170853.836,289950.2484,98157.8716,46300.8848,210422.2796,587265.0156,406665.7822,393200.5533,331578.0959,245527.3314,278247.9768,251573.587,238390.7567,215900.5427,125651.1249,384088.8977
