idx,fid,th_seq,sTP1,sTP1_1_5,sTP1_1_6,TP1,TP1_1_5,TP1_1_6,TP3_1,TP3_2,TP4_1,TP4_2
1,1,1,1,1135072000,서울특별시,2,1159060500,서울특별시,7,10,9,10
1,2,2,2,1159060500,서울특별시,1,1135072000,서울특별시,18,10,20,5
2,3,1,1,4833051500,경상남도,2,4833051500,경상남도,17,40,17,50
2,4,2,2,4833051500,경상남도,97,4833051500,경상남도,18,20,18,25
2,5,3,97,4833051500,경상남도,97,4833051500,경상남도,19,20,19,25
2,6,4,97,4833051500,경상남도,97,4833051500,경상남도,19,35,19,40
2,7,5,97,4833051500,경상남도,1,4833051500,경상남도,19,40,19,45
3,8,1,1,1130560300,서울특별시,2,1123061000,서울특별시,7,5,7,45
3,9,2,2,1123061000,서울특별시,1,1130560300,서울특별시,17,30,18,15
4,10,1,1,4793038000,경상북도,97,4793038000,경상북도,16,0,16,5
4,11,2,97,4793038000,경상북도,97,4793035000,경상북도,16,15,16,30
4,12,3,97,4793035000,경상북도,97,4793035000,경상북도,16,45,17,25
4,13,4,97,4793035000,경상북도,1,4793038000,경상북도,17,30,17,50
5,14,1,1,1162076500,서울특별시,2,1168058000,서울특별시,9,30,10,35
5,15,2,2,1168058000,서울특별시,1,1162076500,서울특별시,21,0,22,0
6,16,1,1,2729057700,대구광역시,97,2729057600,대구광역시,17,0,18,0
7,17,1,1,3017064000,대전광역시,97,3020053000,대전광역시,11,45,12,30
7,18,2,97,3020053000,대전광역시,1,3017064000,대전광역시,14,30,16,10
8,19,1,1,4315057700,충청북도,2,4315057700,충청북도,11,15,11,25
8,20,2,2,4315057700,충청북도,1,4315057700,충청북도,15,40,15,55
8,21,3,1,4315057700,충청북도,97,1168053100,서울특별시,17,5,19,30
9,22,1,1,4146125000,경기도,2,1171056200,서울특별시,6,40,7,30
9,23,2,2,1171056200,서울특별시,1,4146125000,경기도,16,20,18,10
10,24,1,1,1111051500,서울특별시,97,1111051500,서울특별시,17,0,18,0
10,25,2,97,1111051500,서울특별시,97,1111051500,서울특별시,18,20,18,40
10,26,3,97,1111051500,서울특별시,97,1111051500,서울특별시,18,40,18,50
10,27,4,97,1111051500,서울특별시,1,1111051500,서울특별시,18,55,19,10
11,28,1,1,4213055000,강원도,97,4213039000,강원도,5,40,6,5
11,29,2,97,4213039000,강원도,97,4277025900,강원도,6,10,7,25
11,30,3,97,4277025900,강원도,1,4213055000,강원도,16,40,18,35
12,31,1,1,4137055000,경기도,2,4143056000,경기도,7,45,8,55
12,32,2,2,4143056000,경기도,1,4137055000,경기도,18,40,19,50
13,33,1,1,3011064000,대전광역시,2,4311425300,충청북도,9,0,9,45
13,34,2,2,4311425300,충청북도,1,3011064000,대전광역시,16,10,17,25
14,35,1,1,2638060100,부산광역시,97,2638060100,부산광역시,17,0,17,10
14,36,2,97,2638060100,부산광역시,97,2638060200,부산광역시,18,10,18,20
14,37,3,97,2638060200,부산광역시,97,2638060100,부산광역시,21,10,21,20
14,38,4,97,2638060100,부산광역시,1,2638060100,부산광역시,23,30,23,40
15,39,1,1,2729057100,대구광역시,2,2729059000,대구광역시,7,55,8,25
15,40,2,2,2729059000,대구광역시,97,2729059000,대구광역시,14,40,14,50
15,41,3,97,2729059000,대구광역시,97,2729059000,대구광역시,15,40,15,45
15,42,4,97,2729059000,대구광역시,1,2729057100,대구광역시,16,20,16,35
16,43,1,1,2823758000,인천광역시,97,2823758000,인천광역시,8,30,8,40
16,44,2,97,2823758000,인천광역시,2,2823759200,인천광역시,8,40,8,50
16,45,3,2,2823759200,인천광역시,97,2823758000,인천광역시,17,0,17,10
16,46,4,97,2823758000,인천광역시,1,2823758000,인천광역시,17,10,17,15
