424_행정구역코드,평균공시지가(원/㎡),가구수,소득분위,단위면적당버스정류장개수,토지이용비율_주거,토지이용비율_상업,토지이용비율_공업,토지이용비율_녹지,토지이용비율_기타,1차산업_사업체규모(명/개),2차산업_사업체규모(명/개),3차산업_사업체규모(명/개),분산,총 인구수,참여율
1101072,6112271.858,5352,8분위,9.727626459,0.464828524,0.001341635,0,0.53382984,0,0,2.492063492,5.606217617,0.000228984,11978,0.005259643
1101053,10774863.12,4758,9분위,32.5203252,0.563596426,0.303468941,0,0.132934633,0,16,5.407563025,11.40742285,0.000210733,9372,0.003414426
1101054,6686926.816,1340,7분위,10.06711409,0.345160692,0.005842917,0,0.648996391,0,0,3.641509434,5.299003322,0.000155379,2456,0.006107492
1101055,1954082.272,4389,7분위,16.74008811,0.472757717,0,0,0.527242283,0,0,2.64556962,4.359509202,0.000102226,9579,0.002401086
1101056,2100074.174,7519,8분위,7.328072153,0.262839477,0,0,0.737160523,0,0,4.808988764,3.159902597,0.000102978,18152,0.002479066
1101057,2621027.273,3189,9분위,11.11111111,0.556157136,0,0,0.443842864,0,0,2.863636364,2.473612991,0.000280698,8259,0.008233442
1101058,5051351.774,4594,8분위,85.71428571,0.880458834,0.110182246,0,0.00935892,0,0,58.45,10.92934783,6.74E-05,10046,0.003882142
1101060,5549920.553,2075,7분위,44.44444444,0.882339001,0.006223654,0,0.111437345,0,0,124.4328358,6.477827051,0.000208017,4088,0.003913894
1101061,14317371.89,5274,7분위,35.31914894,0.092857168,0.64959419,0,0.257548642,0,2,7.341441028,6.028597908,0.000223695,7197,0.002917882
1101063,8053267.926,3392,6분위,48.33333333,0.151943236,0.848056764,0,0,0,1,2.379831933,2.955168854,9.63E-05,5089,0.003144036
1101064,4206936.368,4433,7분위,33.33333333,0.954788433,0.045211567,0,0,0,2,3.198675497,11.09796187,0.000155327,7231,0.002350989
1101073,5264591.277,9367,7분위,32.14285714,0.889434455,0.014221047,0,0.096344498,0,0,4.1875,3.933113519,0.000367445,16383,0.003723372
1101067,4041124.583,2960,5분위,48.38709677,0.38648593,0.61351407,0,0,0,0,2.079787234,2.374025974,9.39E-05,4891,0.003475772
1101068,4041124.583,4184,5분위,3.846153846,0.986940664,0.013059336,0,0,0,0,2,2.119929453,0.000188352,7911,0.001769688
1101069,4041124.583,2911,7분위,21.73913043,1,0,0,0,0,0,2.413333333,2.601648352,0.000154867,6575,0.004106464
1101070,3982535.959,3038,6분위,60.86956522,0.905361504,0.094638496,0,0,0,0,2.932806324,2.391304348,0.000141942,5837,0.002741134
1101071,3982535.959,6160,6분위,25.71428571,0.382516983,0.617483017,0,0,0,0,2.946188341,2.602416255,7.39E-05,9639,0.002489885
1102052,16831311.18,1130,9분위,50.52631579,0.44532697,0.55467303,0,0,0,0,9.635514019,12.6554,0.000167876,2250,0.006222222
1102054,18707607.72,3014,8분위,66.66666667,0.511943614,0.488056386,0,0,0,0,6.229681979,4.961062144,0.000154092,4784,0.003762542
1102055,25044111.24,1414,7분위,49.49494949,0.19771091,0.80228909,0,0,0,1,5.512893983,12.77573832,0.000176664,2884,0.003467406
1102057,6687477.802,2408,7분위,14.03508772,0.926017309,0.073982691,0,0,0,0,3.65028665,8.412358134,0.000135537,4023,0.004474273
1102058,5238698.883,2753,6분위,10.29411765,0.990725899,0.009274101,0,0,0,0,7.645962733,9.234090909,0.000171137,4590,0.003267974
1102059,8537897.952,3279,7분위,29.72972973,0.083101555,0.916898445,0,0,0,0,2.271297989,4.311470455,0.000135931,5255,0.003996194
1102060,12376092.32,1504,7분위,36.66666667,0,1,0,0,0,0,2.648576749,3.580414938,0.000138331,1738,0.003452244
1102069,6957582.833,4635,6분위,16.36363636,0.37834154,0.62165846,0,0,0,0,2.209511568,1.96064448,9.78E-05,7673,0.002085234
1102070,4472471.939,6915,6분위,15.68627451,1,0,0,0,0,0,3.364516129,4.483362522,0.000236893,13798,0.002174228
1102071,4472471.939,7802,8분위,29.16666667,1,0,0,0,0,0,3.5,3.759597806,8.75E-05,16676,0.003957784
1102072,4472471.939,6400,7분위,14.70588235,1,0,0,0,0,0,4.298076923,3.477799228,0.000131946,13588,0.002796585
1102065,4472471.939,5386,7분위,33.33333333,0.918198533,0.081801467,0,0,0,0,2.902887139,2.598633646,0.000246987,10363,0.0033774
1102073,4472471.939,4170,7분위,23.07692308,1,0,0,0,0,0,3.504273504,3.205882353,0.000182615,10266,0.004091175
1102067,6265134.615,6918,7분위,21.21212121,0,1,0,0,0,0,2.34751773,2.41723356,0.000129514,12576,0.002624046
1102068,5451064.527,5647,8분위,25,0.754047284,0.194225806,0,0.05172691,0,0,3.989690722,7.062751408,0.000106779,12035,0.004819277
1103051,4460284.113,8724,7분위,20.93023256,0.999970903,2.91E-05,0,0,0,0,2.84,3.433853739,0.000196314,16833,0.00267332
1103052,3869486.078,5384,6분위,16.32653061,0.35115629,0,0,0.64884371,0,0,1.560606061,2.604113111,9.24E-05,9456,0.003278342
1103053,7794259.506,5384,7분위,23.52941176,0.413367067,0.165665422,0,0.420967511,0,1,12.27741935,7.915270464,0.000106397,7351,0.003128826
1103071,4882629.191,11102,6분위,34.44444444,0.969924475,0.030075525,0,0,0,0,2.537530266,4.964467005,0.000212015,19471,0.002721997
1103072,6290470.006,8035,8분위,50.84745763,0.675831747,0.324168253,0,0,0,0,3.151658768,4.75196038,0.000179569,15950,0.00338558
1103057,4317064.662,6038,8분위,40.84507042,0.718033856,0.094263272,0,0.187702871,0,5,4.433962264,4.635552505,0.00027475,13751,0.003417933
1103058,4842014.238,4373,7분위,50,1,0,0,0,0,0,6.492307692,3.412872841,0.000230084,10037,0.003387466
1103059,5896927.272,5438,7분위,92.85714286,1,0,0,0,0,0,2.294117647,2.235772358,0.000213994,11863,0.002613167
1103073,10060090.03,10405,9분위,15.17241379,0.460089571,0.22693196,0,0.312978469,0,1,5.684684685,7.367698137,0.000147143,21763,0.002113679
1103063,7113315,10344,9분위,6.293706294,0.260095238,0.000417126,0,0.739487635,0,0,1.891891892,2.99037037,0.000121992,25893,0.002471711
1103064,7113315,3847,7분위,8.196721311,0.209082022,0.000502558,0,0.79041542,0,0,1.931818182,2.13618677,0.000127584,8303,0.003854029
1103065,7499570.863,3935,7분위,26.31578947,0.88913511,0.11086489,0,0,0,0,1.794117647,3.561841375,0.000151044,6392,0.004067584
1103066,7499570.863,5025,7분위,26.74418605,0.923227904,0,0,0.076772096,0,0,2.93814433,2.522727273,0.000328288,8997,0.002889852
1103074,7621903.972,11412,8분위,13.95348837,0.857849741,0.014994315,0,0.127155944,0,0,5.055335968,6.202173913,0.000208139,20389,0.002354211
1103069,4741546.552,5326,8분위,7.5,0.322619524,0,0,0.677380476,0,0,19.21428571,6.762376238,0.000208254,13051,0.003064899
1103070,6815916.59,7784,6분위,16.90140845,0.814480797,0,0,0.185519203,0,0,1.730769231,2.078972407,0.000240287,13453,0.002378652
1104052,3844616.366,7629,7분위,36.58536585,0.937574851,0.062425149,0,0,0,1,2.842105263,2.281504065,0.000135221,16475,0.003581184
1104071,4575667.779,12023,8분위,40.27777778,0.755348332,0.244651668,0,0,0,0,3.300225734,3.5947689,8.20E-05,26430,0.002307983
1104054,3620715.509,10912,7분위,29.52380952,0.968938364,0.031061636,0,0,0,2,2.710126582,3.203520692,0.000201517,22362,0.002370092
1104055,3344048.205,7801,7분위,32.72727273,0.875951543,0,0,0.124048457,0,0,2.590909091,8.436170213,0.000322378,11915,0.003021402
1104056,4200103.093,6455,8분위,59.3220339,0.912848858,0.087151142,0,0,0,0,4.715277778,6.211994421,0.000221441,13904,0.003452244
1104057,4200103.093,9483,8분위,71.42857143,1,0,0,0,0,0,1.855263158,2.378010471,0.0002131,23280,0.002534364
1104058,2238018.047,6128,8분위,50.87719298,0.769106563,0,0,0.230893437,0,0,1.275362319,1.752039152,0.00026874,15408,0.002985462
1104059,2970369.257,6713,8분위,71.73913043,1,0,0,0,0,0,2.169642857,2.666257669,0.000152915,15240,0.003805774
1104072,3948266.979,10318,8분위,85.9375,0.99514238,0.00485762,0,0,0,0,1.93902439,2.044049459,0.000121071,22735,0.002551133
1104062,4047780.186,6460,8분위,30.95238095,0.654455615,0,0,0.345544385,0,0,2.681318681,2.257709251,0.000252994,14325,0.002164049
1104073,3141338.166,11091,8분위,24.22680412,0.442621266,0,0,0.557378734,0,0,2.431372549,3.183048433,0.00021662,26033,0.002688895
1104065,5797200.635,7671,8분위,17.76649746,0.210386166,0.042851411,0.138528119,0.608234305,0,3,3.324292453,5.463414634,0.000236505,16514,0.003148843
